PLAYER,TEAM,INNINGS,NOT OUT,RUNS,HS,AVERAGE,BALL FACED,STRIKE RATE,100'S,50'S,4'S,6'S
Ben McDermott,Hobart Hurricanes,6,1,277,91,55.4,203,136.453202,0,2,18,15
Josh Phillippe,Sydney Sixers,8,0,266,95,33.25,187,142.2459893,0,1,28,7
Glenn Maxwell,Melbourne Stars,6,1,255,71*,51,166,153.6144578,0,1,19,14
Shaun Marsh,Melbourne Renegades,7,0,247,87,35.28571429,180,137.2222222,0,3,18,9
Callum Ferguson,Sydney Thunder,7,1,243,61*,40.5,199,122.1105528,0,3,25,3
Alex Hales,Sydney Thunder,7,0,243,71,34.71428571,138,176.0869565,0,1,26,14
Colin Ingram,Hobart Hurricanes,8,0,228,55,28.5,171,133.3333333,0,1,21,9
Alex Carey,Adelaide Strikers,6,0,216,82,36,183,118.0327869,0,2,21,4
Daniel Hughes,Sydney Sixers,8,1,213,96,30.42857143,162,131.4814815,0,1,13,10
Jake Weatherald,Adelaide Strikers,8,2,206,68*,34.33333333,153,134.6405229,0,2,18,11
Marcus Stoinis,Melbourne Stars,6,1,196,97,39.2,123,159.3495935,0,2,18,10
Jordan Silk,Sydney Sixers,8,2,194,45*,32.33333333,129,150.3875969,0,0,24,2
Tim David,Hobart Hurricanes,8,3,189,58,37.8,121,156.1983471,0,1,15,8
Colin Munro,Perth Scorchers,7,0,187,52,26.71428571,140,133.5714286,0,2,14,9
James Vince,Sydney Sixers,8,1,181,67,25.85714286,145,124.8275862,0,1,16,5
Max Bryant,Brisbane Heat,7,0,179,40,25.57142857,129,138.7596899,0,0,20,5
Josh Inglis,Perth Scorchers,7,2,172,72*,79,81,212.345679,0,1,20,4
Mitchell Marsh,Perth Scorchers,7,4,172,57*,57.33333333,120,143.3333333,0,2,14,7
Usman Khawaja,Sydney Thunder,7,0,164,48,23.42857143,126,130.1587302,0,0,22,1
Dawid Malan,Hobart Hurricanes,4,0,155,75,38.75,128,121.09375,0,0,15,5
Jack Edwards,Sydney Sixers,8,0,154,47,19.25,138,111.5942029,0,0,19,1
Jimmy Peirson,Brisbane Heat,7,4,153,69*,51,119,128.5714286,0,1,11,3
Jonathan Wells,Adelaide Strikers,8,1,152,66,21.71428571,153,99.34640523,0,1,14,0
Sam Harper,Melbourne Renegades,8,1,140,66*,20,121,115.7024793,0,1,11,3
Matt Renshaw,Adelaide Strikers,8,0,136,35,17,122,111.4754098,0,0,7,4
Daniel Sams,Sydney Thunder,5,1,133,65*,33.25,61,218.0327869,0,1,7,12
Aaron Finch,Melbourne Renegades,7,0,132,39,18.85714286,105,125.7142857,0,0,14,3
Philip Salt,Adelaide Strikers,8,0,131,51,16.375,102,128.4313725,0,1,14,5
Jason Roy,Perth Scorchers,4,0,124,49,31,97,127.8350515,0,0,14,2
Hilton Cartwright,Melbourne Stars,6,1,123,46*,24.6,101,121.7821782,0,0,6,7
D Arcy Short,Hobart Hurricanes,8,0,123,72,15.375,98,125.5102041,0,1,13,4
Chris Lynn,Brisbane Heat,3,0,119,69,39.66666667,80,148.75,0,1,7,8
Nicholas Pooran,Melbourne Stars,4,0,111,65,27.75,70,158.5714286,0,1,5,11
Rilee Rossouw,Melbourne Renegades,7,1,105,59,17.5,77,136.3636364,0,1,13,1
Ben Cutting,Sydney Thunder,6,2,104,29*,26,68,152.9411765,0,0,9,6
Daniel Christian,Sydney Sixers,7,1,99,50,16.5,48,206.25,0,1,8,8
Sam Heazlett,Brisbane Heat,6,0,99,48,16.5,76,130.2631579,0,0,7,6
Ashton Turner,Perth Scorchers,5,1,95,39,23.75,57,166.6666667,0,0,8,6
Peter Handscomb,Hobart Hurricanes,8,1,95,24,13.57142857,86,110.4651163,0,0,8,3
James Bazley,Brisbane Heat,4,3,89,49*,89,57,156.1403509,0,0,7,5
Oliver Davies,Sydney Thunder,4,0,86,48,21.5,50,172,0,0,2,8
Mohammad Nabi,Melbourne Renegades,6,0,78,33,13,77,101.2987013,0,0,3,5
Daniel Worrall,Adelaide Strikers,4,2,72,62*,36,49,146.9387755,0,1,7,3
Andre Fletcher,Melbourne Stars,7,1,72,18,12,58,124.137931,0,0,10,3
Joe Denly,Brisbane Heat,2,0,69,50,34.5,53,130.1886792,0,1,6,2
Ben Dunk,Melbourne Stars,5,0,69,24,13.8,63,109.5238095,0,0,2,4
Liam Livingstone,Perth Scorchers,4,0,66,22,16.5,67,98.50746269,0,0,4,1
Jason Holder,Sydney Sixers,3,2,62,33*,62,34,182.3529412,0,0,7,4
